candidate_id,index,party,color,party_id,yays,nays,x,y
0,6,Grüne,#008000,4,48,27,0.420163955070379,-0.0763465961959113
1,17,FDP,#4169E1,2,37,38,-0.716146501022419,0.152773828429721
2,40,FDP,#4169E1,2,42,33,-0.512779056322582,0.0031426518471791
3,41,Grüne,#008000,4,44,31,1.56129761621624,-0.475505115486431
4,44,glp,#32CD32,6,44,31,-0.0416296817094694,-0.175774068177543
6,91,CVP,#FFA500,3,38,37,-0.261368079568883,-0.0351917748270598
7,98,FDP,#4169E1,2,52,23,-0.305932829646015,-1.14718560286484
8,108,Grüne,#008000,4,50,25,0.332959519763557,-0.864028950131463
10,159,Grüne,#008000,4,44,31,0.947497211165287,-0.466110399967733
11,164,Grüne,#008000,4,45,30,1.68522316213741,0.483810084744467
13,225,CVP,#FFA500,3,42,33,0.104154141372911,0.308690615312649
14,239,FDP,#4169E1,2,44,31,-0.52498770200278,0.305015319704759
15,246,glp,#32CD32,6,48,27,-0.426218576388907,2.05085910955971
17,316,CVP,#FFA500,3,41,34,-0.192070784394241,-1.1381242515269
18,317,CVP,#FFA500,3,40,35,-0.294538372997137,0.144478506247498
19,318,CVP,#FFA500,3,43,32,-0.221590541364575,-0.0079720029708834
20,319,CVP,#FFA500,3,56,19,0.132608783248218,0.653900865266472
21,320,BDP,#800020,5,47,28,-0.318775484800422,0.65912588072428
22,328,glp,#32CD32,6,48,27,-0.244449457612114,1.56261316538686
23,370,FDP,#4169E1,2,29,46,-1.57817361898839,1.11627496642193
24,385,glp,#32CD32,6,45,30,-0.656354447308097,1.46897284586088
25,493,SP,#FF0000,1,46,29,1.71135730188554,0.60985439139576
28,527,CVP,#FFA500,3,35,40,-0.0565581265455676,-0.63369380450881
29,595,FDP,#4169E1,2,49,26,-0.13913078841434,-0.881768413486153
30,613,Grüne,#008000,4,42,33,0.52429819525716,-0.741015050690517
31,614,Grüne,#008000,4,44,31,2.01284045194146,-0.258845357928751
32,643,CVP,#FFA500,3,43,32,-0.0747585342095173,-0.0393353427425297
33,649,BDP,#800020,5,44,31,-0.211542095149748,-0.0570801993864349
34,650,SP,#FF0000,1,45,30,1.25298307827452,-0.942813864183945
35,652,BDP,#800020,5,42,33,-0.45324713646885,0.193605240366471
36,653,SP,#FF0000,1,49,26,1.62668669574544,-0.0835007826615155
39,658,SVP,#006400,0,33,42,-1.55377830613526,-1.6588078980764
40,736,SP,#FF0000,1,49,26,1.75734115217457,0.321515218487699
41,743,SVP,#006400,0,32,43,-1.31630070991178,-0.803620957533073
42,750,CVP,#FFA500,3,34,41,-1.31964711794193,0.292742756571327
43,753,Grüne,#008000,4,43,32,1.95460799415455,-0.010179812970713
44,754,Grüne,#008000,4,48,27,1.38187139217552,1.11129057275894
46,761,glp,#32CD32,6,43,32,-0.667429543645208,1.69079470551827
47,765,Grüne,#008000,4,46,29,1.85303883015205,1.10357072495274
48,772,Grüne,#008000,4,46,29,1.47614033669655,0.300405207595468
49,791,CVP,#FFA500,3,39,36,-0.0135966435014285,-1.70181041459475
50,792,CVP,#FFA500,3,45,30,0.120933636347598,-0.106381255548637
51,795,Grüne,#008000,4,45,30,1.62208129311288,0.316856994238657
53,832,SP,#FF0000,1,47,28,1.376901202412,0.692519350183417
54,854,glp,#32CD32,6,43,32,-0.330547895916726,0.925322976421351
55,874,Grüne,#008000,4,46,29,-0.0346054727868755,-0.742561136402992
56,878,SP,#FF0000,1,45,30,1.22359638902775,0.523413268939803
57,883,SP,#FF0000,1,47,28,1.32575077605555,0.489230801158941
58,895,Grüne,#008000,4,46,29,1.75202257001798,0.597258724930635
59,903,Grüne,#008000,4,44,31,1.46824809411437,-0.165772445586145
60,913,CVP,#FFA500,3,42,33,-0.502024082860045,-0.441368108630333
61,914,CVP,#FFA500,3,40,35,-0.408818791633119,0.40717996678265
62,915,CVP,#FFA500,3,33,42,-0.230479728707747,-0.263900872125762
63,916,CVP,#FFA500,3,48,27,-0.0200125824874936,0.375907085963443
64,918,BDP,#800020,5,35,40,-0.533308645227646,0.509472633771023
65,919,SP,#FF0000,1,44,31,1.25619926954981,-0.360401673630477
66,920,SP,#FF0000,1,44,31,1.83721852025067,0.208141155697944
68,925,FDP,#4169E1,2,27,48,-1.63046055462745,1.5071835648719
69,931,SVP,#006400,0,28,47,-1.22472896745945,-1.10911780911022
70,951,FDP,#4169E1,2,37,38,-1.17591585846533,1.25457062831935
72,955,SP,#FF0000,1,47,28,1.59705776552441,-0.426004267064541
74,1007,Grüne,#008000,4,48,27,1.19244181403362,1.23687267868485
75,1015,Grüne,#008000,4,46,29,0.644847419460545,0.284501771927377
76,1022,Grüne,#008000,4,47,28,1.99077795098336,-0.602392575259542
79,1040,CVP,#FFA500,3,35,40,-0.466127797335434,-0.355009182359434
80,1041,BDP,#800020,5,48,27,0.0709411535724033,-0.327302830807468
81,1042,SP,#FF0000,1,46,29,1.26652146471877,0.82749010053484
82,1043,SP,#FF0000,1,42,33,0.28040849457396,-0.0911324763600079
83,1044,SP,#FF0000,1,44,31,2.31532090329095,-0.0876231877594768
84,1045,SP,#FF0000,1,44,31,0.933954416594515,-0.354038358739142
85,1049,Grüne,#008000,4,47,28,1.93410647635147,0.252515902368918
86,1078,CVP,#FFA500,3,53,22,0.0252868319404174,-0.620521531986736
88,1087,CVP,#FFA500,3,46,29,-0.0035017476953143,-0.594023252886051
89,1092,FDP,#4169E1,2,42,33,-0.595936913105026,0.624425371760758
92,1115,SP,#FF0000,1,47,28,0.61039981986687,-0.733824517860753
96,1134,Grüne,#008000,4,51,24,1.00539025737668,0.313565293934598
99,1171,FDP,#4169E1,2,48,27,-0.0450375478680452,0.0001934055089546
100,1172,FDP,#4169E1,2,37,38,-1.19524082588316,1.55917691128262
101,1185,BDP,#800020,5,47,28,-0.454637539080102,0.165447607567239
102,1186,BDP,#800020,5,49,26,-0.473311125702984,0.771290044744415
104,1205,SVP,#006400,0,39,36,-0.979742732358032,-1.03333455165833
105,1219,Grüne,#008000,4,46,29,0.542222951784811,-0.0637365123281975
106,1226,CVP,#FFA500,3,41,34,-0.145133850438747,-0.28611639149806
108,1241,FDP,#4169E1,2,37,38,-0.637319329150126,-0.94300501881977
109,1243,glp,#32CD32,6,44,31,-0.425801000825501,1.21727725021033
110,1260,SVP,#006400,0,36,39,-0.873957459644663,-1.25180168543153
